aisle,location,quantity
right_aisle,MZ1224CC2304,1
right_aisle,MZ1216BB2305,14
left_aisle,MZ1214BB0105,10
right_aisle,MZ1218CC1901,5
left_aisle,MZ1218AA0201,10
right_aisle,MZ1224AA2310,0
right_aisle,MZ1222CC2303,1
a29,MZ1229CC1501,1
right_aisle,MZ1212BB2304,3
right_aisle,MZ1230CC2305,10
left_aisle,MZ1212BB0102,11
right_aisle,MZ1224BB2308,20
right_aisle,MZ1222BB2307,2
right_aisle,MZ1228AA2301,1
right_aisle,MZ1224CC2303,50
right_aisle,MZ1220CC2301,2
right_aisle,MZ1214CC2303,20
left_aisle,MZ1226CC0104,10
left_aisle,MZ1222AA0106,1
a29,MZ1229CC0803,6
right_aisle,MZ1216BB1901,1
right_aisle,MZ1228AA1801,5
left_aisle,MZ1214DD0401,5
left_aisle,MZ1212AA0108,40
right_aisle,MZ1226CC2305,2
left_aisle,MZ1214BB0103,5
left_aisle,MZ1220AA0401,10
right_aisle,MZ1214BB2304,6
a14,MZ1214AA0801,2
right_aisle,MZ1214CC2303,4
right_aisle,MZ1222CC2304,7
right_aisle,MZ1224BB2302,1
left_aisle,MZ1224BB0105,6
a07,MZ1207AA0905,1
a14,MZ1214DD1301,1
right_aisle,MZ1220CC2301,2
right_aisle,MZ1228AA1801,10
right_aisle,MZ1226CC2301,5
right_aisle,MZ1229DD1701,1
a24,MZ1224BB1001,250
left_aisle,MZ1224BB0105,20
right_aisle,MZ1218BB2301,10
right_aisle,MZ1218BB2305,8
left_aisle,MZ1216AA0104,10
right_aisle,MZ1228AA2303,1
right_aisle,MZ1214AA2304,1
right_aisle,MZ1222CC2306,1
